DATE,AUD,CAD,CHF,EUR,GBP,JPY,NOK,NZD,SEK,USD
2018-10-31,0.70735,1.31545,1.00855,1.1312,1.2766,112.94,8.4367,0.6517,9.1671,1.0
2018-10-30,0.7106,1.3107,1.00515,1.1344500000000002,1.2706499999999998,113.095,8.4139,0.6554,9.1754,1.0
2018-10-29,0.7056,1.31345,1.0018500000000001,1.1373,1.27935,112.375,8.3935,0.6522,9.151250000000001,1.0
2018-10-26,0.7096,1.3107,0.997,1.1402999999999999,1.28335,111.905,8.351600000000001,0.65115,9.13245,1.0
2018-10-25,0.7081,1.3071,0.99965,1.13755,1.2817,112.415,8.3432,0.6525,9.113,1.0
2018-10-24,0.7059,1.3054000000000001,0.9979,1.1392,1.2881,112.25999999999999,8.3515,0.653,9.1252,1.0
2018-10-23,0.70855,1.3084500000000001,0.9949,1.1471,1.2983,112.445,8.2909,0.6551,9.0257,1.0
2018-10-22,0.7081,1.3101,0.99605,1.1465,1.2962500000000001,112.82499999999999,8.2568,0.65595,9.0011,1.0
2018-10-19,0.7121,1.3099,0.9964999999999999,1.15145,1.30715,112.55000000000001,8.2273,0.6594,8.9892,1.0
2018-10-18,0.70995,1.3085499999999999,0.99565,1.1453,1.3018,112.195,8.2781,0.65435,9.042300000000001,1.0
2018-10-17,0.7109,1.3018,0.9953,1.1501000000000001,1.3115,112.65,8.2128,0.655,8.9654,1.0
2018-10-16,0.7141,1.2934,0.9907,1.1574499999999999,1.3186499999999999,112.255,8.1475,0.65845,8.905,1.0
2018-10-15,0.7131,1.2992,0.987,1.1579,1.3152499999999998,111.775,8.1528,0.6551,8.95315,1.0
2018-10-12,0.7119,1.30225,0.9916,1.1562999999999999,1.31555,112.205,8.1723,0.6508,8.9612,1.0
2018-10-11,0.7124,1.3029,0.9895,1.1594,1.32355,112.16499999999999,8.215499999999999,0.6522,8.9741,1.0
2018-10-10,0.70625,1.30675,0.9901,1.152,1.31955,112.275,8.2363,0.6449,9.1437,1.0
2018-10-09,0.7103,1.2947,0.9919,1.14905,1.3144,112.955,8.2671,0.6474,9.1051,1.0
2018-10-08,0.70785,1.2965499999999999,0.9927,1.1492,1.309,113.235,8.27645,0.6448499999999999,9.0863,1.0
2018-10-05,0.7052,1.2937,0.9918,1.1524,1.31235,113.72,8.2609,0.64435,9.065,1.0
2018-10-04,0.7073,1.2925,0.9917,1.1515,1.302,113.915,8.2499,0.648,9.0592,1.0
2018-10-03,0.71035,1.2869,0.9923500000000001,1.1478,1.294,114.535,8.226600000000001,0.6515,9.0532,1.0
2018-10-02,0.71885,1.2823,0.9839,1.1548,1.2979,113.67,8.1744,0.6594,9.0083,1.0
2018-10-01,0.72255,1.2812000000000001,0.9838,1.1578,1.3043,113.925,8.1507,0.66145,8.9457,1.0
2018-09-28,0.72305,1.2906,0.9821,1.1609,1.3030499999999998,113.695,8.147300000000001,0.66185,8.8887,1.0
2018-09-27,0.7207,1.3042,0.9773000000000001,1.1641,1.3082,113.375,8.1552,0.66195,8.8561,1.0
2018-09-26,0.7257,1.3019,0.9659,1.174,1.317,112.72999999999999,8.111049999999999,0.6656,8.8108,1.0
2018-09-25,0.72505,1.2953000000000001,0.9651000000000001,1.1772,1.3183,112.975,8.12855,0.6647000000000001,8.8086,1.0
2018-09-24,0.7253000000000001,1.2956,0.9648,1.1748,1.31215,112.805,8.1417,0.6647000000000001,8.7992,1.0
2018-09-21,0.72915,1.2915,0.9587,1.175,1.30775,112.575,8.14805,0.6686,8.7867,1.0
2018-09-20,0.72915,1.2903,0.95895,1.1776499999999999,1.3267,112.495,8.145199999999999,0.6685,8.7734,1.0
2018-09-19,0.7263999999999999,1.2915,0.9672000000000001,1.1673,1.31445,112.285,8.1517,0.6616,8.8713,1.0
2018-09-18,0.72195,1.2974,0.96455,1.1667,1.3148499999999999,112.365,8.1599,0.6583,8.9091,1.0
2018-09-17,0.71825,1.3044,0.9626,1.16835,1.3158500000000002,111.845,8.1733,0.6577999999999999,8.9115,1.0
2018-09-14,0.7152499999999999,1.3033000000000001,0.9675,1.1630500000000001,1.30675,112.055,8.2554,0.6548499999999999,9.0527,1.0
2018-09-13,0.7193,1.2998,0.9655,1.169,1.3107,111.92500000000001,8.2181,0.6568,8.953,1.0
2018-09-12,0.7169,1.2997,0.97065,1.1626,1.3048,111.265,8.2594,0.65645,8.9813,1.0
2018-09-11,0.71245,1.3067,0.9722,1.1607,1.30355,111.635,8.3197,0.6526000000000001,9.0408,1.0
2018-09-10,0.7115,1.3164,0.9751,1.1594,1.3026499999999999,111.125,8.3893,0.6527000000000001,9.068200000000001,1.0
2018-09-07,0.7107,1.3155999999999999,0.9693,1.1553,1.2923499999999999,111.07499999999999,8.452,0.6535500000000001,9.0585,1.0
2018-09-06,0.72035,1.314,0.9652000000000001,1.1622,1.2932000000000001,110.755,8.4221,0.659,9.1068,1.0
2018-09-05,0.719,1.3175,0.9718,1.16295,1.2904,111.53,8.3942,0.659,9.0542,1.0
2018-09-04,0.71795,1.3188,0.97445,1.1582,1.28565,111.455,8.392800000000001,0.6556,9.0872,1.0
2018-09-03,0.7213499999999999,1.3092,0.9693,1.1624,1.2872,111.08,8.354600000000001,0.6601,9.09645,1.0
2018-08-31,0.7191,1.3039,0.9688,1.1601,1.29635,111.03999999999999,8.3873,0.66205,9.1489,1.0
2018-08-30,0.7263999999999999,1.2981,0.9691000000000001,1.16715,1.301,110.985,8.3448,0.6657,9.118,1.0
2018-08-29,0.73105,1.2904,0.97055,1.1708,1.3026499999999999,111.67,8.331,0.6717500000000001,9.1377,1.0
2018-08-28,0.7338,1.2931,0.9763999999999999,1.1695,1.28775,111.195,8.3422,0.6709,9.1388,1.0
2018-08-27,0.73525,1.2965,0.97975,1.1678,1.2893,111.08500000000001,8.3235,0.6696,9.0936,1.0
2018-08-24,0.7325,1.3029,0.9833000000000001,1.1623,1.2845,111.235,8.3276,0.6692,9.1263,1.0
2018-08-23,0.72455,1.3082,0.9862,1.1539,1.28115,111.295,8.3888,0.6636500000000001,9.1426,1.0
2018-08-22,0.7347,1.2997,0.983,1.1597,1.2911,110.555,8.3418,0.6697,9.0655,1.0
2018-08-21,0.73715,1.3035999999999999,0.9853000000000001,1.1571,1.2901500000000001,110.305,8.4044,0.6692,9.0946,1.0
2018-08-20,0.734,1.3047,0.9915,1.14805,1.2798500000000002,110.07,8.4459,0.6639999999999999,9.15465,1.0
2018-08-17,0.7312000000000001,1.306,0.99585,1.1439,1.27525,110.505,8.4545,0.6638,9.1526,1.0
2018-08-16,0.7261,1.3153,0.9968,1.1377,1.27195,110.895,8.4766,0.6588,9.1899,1.0
2018-08-15,0.72395,1.3142,0.9936,1.1345,1.2698,110.745,8.4543,0.6565,9.2052,1.0
2018-08-14,0.7245,1.3056,0.9942500000000001,1.1344,1.2725,111.155,8.4163,0.6573,9.144,1.0
2018-08-13,0.7269,1.31335,0.9934000000000001,1.1409,1.2768,110.72999999999999,8.3633,0.6578999999999999,9.118,1.0
2018-08-10,0.7302,1.3145,0.9954000000000001,1.1411,1.2769,110.94,8.3642,0.6581,9.1219,1.0
2018-08-09,0.73725,1.305,0.9934499999999999,1.1527,1.2824,111.085,8.3192,0.6613,9.0083,1.0
2018-08-08,0.7432,1.3023,0.9933,1.1611,1.28815,110.985,8.217500000000001,0.6747000000000001,8.9491,1.0
2018-08-07,0.7421,1.3053,0.99545,1.1599,1.2939500000000002,111.385,8.2027,0.6735,8.9162,1.0
2018-08-06,0.7387,1.3004,0.99655,1.1553499999999999,1.2943500000000001,111.405,8.251100000000001,0.6733,8.93805,1.0
2018-08-03,0.74,1.299,0.9943,1.1567500000000002,1.3007499999999999,111.265,8.2561,0.6743,8.9148,1.0
2018-08-02,0.736,1.3023,0.9951,1.1583999999999999,1.30185,111.655,8.2424,0.67535,8.8934,1.0
2018-08-01,0.7404,1.3005,0.9921,1.166,1.3126,111.725,8.1765,0.6791,8.8069,1.0
2018-07-31,0.74285,1.3007,0.9903,1.1691500000000001,1.31265,111.875,8.1569,0.6817500000000001,8.792349999999999,1.0
2018-07-30,0.74065,1.3035999999999999,0.9883,1.1706,1.3133,111.07,8.1346,0.6823,8.7521,1.0
2018-07-27,0.74015,1.3053,0.9944999999999999,1.16575,1.31045,111.045,8.1882,0.6789499999999999,8.8408,1.0
2018-07-26,0.73775,1.3074,0.9942,1.16425,1.3109,111.225,8.18995,0.6784,8.812100000000001,1.0
2018-07-25,0.7455,1.3046,0.9919,1.17285,1.3189,110.975,8.1353,0.6837,8.7569,1.0
2018-07-24,0.7421,1.3154,0.9936,1.1686,1.3145,111.19999999999999,8.178799999999999,0.6800999999999999,8.8164,1.0
2018-07-23,0.73815,1.3173,0.9924999999999999,1.1692,1.31025,111.345,8.1951,0.6786,8.8593,1.0
2018-07-20,0.7423500000000001,1.315,0.9925999999999999,1.172,1.3134000000000001,111.41,8.1798,0.6809000000000001,8.8546,1.0
2018-07-19,0.7359,1.327,0.9992,1.1643,1.3014000000000001,112.465,8.2341,0.6746,8.913499999999999,1.0
2018-07-18,0.7398,1.3171,0.9989,1.16385,1.3069,112.85499999999999,8.1703,0.6794,8.8663,1.0
2018-07-17,0.73875,1.319,1.0002,1.1661,1.3115,112.87,8.153400000000001,0.6784,8.8403,1.0
2018-07-16,0.74205,1.3135,0.9968,1.171,1.32355,112.295,8.1008,0.6777500000000001,8.8249,1.0
2018-07-13,0.7424,1.3161,1.00175,1.1685500000000002,1.32345,112.375,8.1152,0.6765,8.8835,1.0
2018-07-12,0.74085,1.31535,1.0024,1.1672500000000001,1.3206,112.565,8.1076,0.6785,8.8702,1.0
2018-07-11,0.7366,1.3206,0.99585,1.1674,1.32055,112.015,8.1089,0.67575,8.8228,1.0
2018-07-10,0.7459,1.3111,0.992,1.1743999999999999,1.3276,110.995,8.0167,0.6838,8.7403,1.0
2018-07-09,0.7467,1.31095,0.9915499999999999,1.1751,1.3259,110.85,8.025500000000001,0.6836,8.725999999999999,1.0
2018-07-06,0.74335,1.3082,0.9899,1.1747,1.32855,110.46000000000001,8.0302,0.6840999999999999,8.7233,1.0
2018-07-05,0.7387,1.3133,0.9932,1.1691,1.3227,110.625,8.0615,0.6785,8.7664,1.0
2018-07-04,0.7382500000000001,1.3143500000000001,0.9927999999999999,1.1656,1.3232499999999998,110.475,8.110299999999999,0.6761999999999999,8.7891,1.0
2018-07-03,0.7386,1.3139,0.99245,1.1657,1.3193,110.595,8.1331,0.6755,8.8298,1.0
2018-07-02,0.7341500000000001,1.3186,0.9936,1.16405,1.3143,110.89500000000001,8.1725,0.6716,8.9655,1.0
2018-06-29,0.74045,1.3132,0.9906999999999999,1.1684999999999999,1.32085,110.68,8.1445,0.6766,8.948,1.0
2018-06-28,0.7354499999999999,1.3246,0.99745,1.1569,1.3078,110.495,8.1884,0.6756,9.0195,1.0
2018-06-27,0.7341,1.3339,0.9972,1.1553499999999999,1.31125,110.25999999999999,8.193,0.6791499999999999,8.9762,1.0
2018-06-26,0.7394000000000001,1.33095,0.9905999999999999,1.1647,1.3228,110.065,8.1281,0.6864,8.8826,1.0
2018-06-25,0.7414000000000001,1.3295,0.987,1.1703999999999999,1.3277,109.775,8.1037,0.69,8.848,1.0
2018-06-22,0.74415,1.32715,0.988,1.1657,1.32695,109.97,8.092,0.6908,8.8537,1.0
2018-06-21,0.73815,1.3314,0.99175,1.1602999999999999,1.3252,109.995,8.1273,0.688,8.8923,1.0
2018-06-20,0.7368,1.3312,0.99615,1.1572,1.3173,110.36,8.1793,0.6863,8.8834,1.0
2018-06-19,0.7383500000000001,1.3284,0.99415,1.159,1.318,110.055,8.1845,0.6900999999999999,8.8959,1.0
2018-06-18,0.7423500000000001,1.32,0.99515,1.1623,1.3244,110.55000000000001,8.1273,0.6944,8.8157,1.0
2018-06-15,0.7444,1.3202,0.9976,1.1609,1.32855,110.675,8.1476,0.6950000000000001,8.7839,1.0
2018-06-14,0.74805,1.3103,0.99705,1.1569,1.32625,110.63,8.136800000000001,0.6977,8.742,1.0
2018-06-13,0.75785,1.2986,0.9856,1.1791,1.3376000000000001,110.34,8.010200000000001,0.7025,8.6075,1.0
2018-06-12,0.75735,1.3014999999999999,0.9868,1.1745,1.3372,110.375,8.0521,0.7007,8.6442,1.0
2018-06-11,0.76115,1.2977500000000002,0.9853000000000001,1.1784,1.3375,110.035,8.043099999999999,0.7027,8.6624,1.0
2018-06-08,0.76,1.2926,0.9852000000000001,1.1768,1.3411499999999998,109.55,8.0562,0.7033499999999999,8.7081,1.0
2018-06-07,0.7626,1.2972000000000001,0.9805,1.1799,1.34225,109.705,8.0573,0.7028,8.699300000000001,1.0
2018-06-06,0.7666999999999999,1.2944,0.9863,1.1773500000000001,1.3413,110.175,8.081,0.7032499999999999,8.7336,1.0
2018-06-05,0.7617499999999999,1.29705,0.9845,1.1718,1.33965,109.795,8.1116,0.70245,8.7515,1.0
2018-06-04,0.7645500000000001,1.2929,0.98785,1.1698499999999998,1.3312499999999998,109.815,8.1187,0.7029,8.7575,1.0
2018-06-01,0.7568,1.2949,0.98815,1.1660499999999998,1.3348,109.545,8.183,0.6983,8.8253,1.0
2018-05-31,0.75685,1.2958,0.9858,1.1692,1.33005,108.82,8.1792,0.6999500000000001,8.8138,1.0
2018-05-30,0.7577499999999999,1.28735,0.9892,1.1663000000000001,1.3291499999999998,108.905,8.182400000000001,0.69885,8.8104,1.0
2018-05-29,0.7505,1.3018,0.9913000000000001,1.154,1.3253499999999998,108.765,8.2837,0.6904,8.95575,1.0
2018-05-28,0.75465,1.29915,0.9937,1.16235,1.33135,109.42,8.195599999999999,0.6943,8.8239,1.0
2018-05-25,0.7549,1.2972000000000001,0.9898,1.1652,1.3309,109.395,8.171,0.6918,8.7649,1.0
2018-05-24,0.7576,1.2882500000000001,0.9916,1.1719499999999998,1.3381,109.255,8.098600000000001,0.6923,8.7608,1.0
2018-05-23,0.75615,1.2831000000000001,0.9955499999999999,1.1697,1.3348499999999999,110.08,8.093399999999999,0.69145,8.7607,1.0
2018-05-22,0.7576,1.2819,0.99275,1.1779,1.34355,110.895,8.0615,0.6934,8.6898,1.0
2018-05-21,0.7582,1.2787,0.99725,1.17915,1.3430499999999999,111.055,8.0506,0.69465,8.6731,1.0
2018-05-18,0.75135,1.2882,0.9978,1.17775,1.34735,110.755,8.1144,0.6912,8.754,1.0
2018-05-17,0.75115,1.2807,1.0015,1.1795,1.3517000000000001,110.77000000000001,8.1208,0.6877,8.734,1.0
2018-05-16,0.7516499999999999,1.2787,1.0011999999999999,1.1807500000000002,1.3488,110.39,8.0794,0.6897,8.7049,1.0
2018-05-15,0.7472,1.2873999999999999,1.0013,1.1837499999999999,1.35065,110.35,8.1222,0.6862,8.6855,1.0
2018-05-14,0.7525999999999999,1.2812999999999999,1.0006,1.1926999999999999,1.3556,109.66,8.032599999999999,0.69135,8.6421,1.0
2018-05-11,0.7543,1.2793,1.0006,1.1944,1.3543500000000002,109.395,8.0019,0.6968,8.5952,1.0
2018-05-10,0.7533,1.2767,1.0033,1.1915,1.3517,109.395,8.0037,0.6963,8.651,1.0
2018-05-09,0.7464500000000001,1.2854,1.00525,1.18505,1.35465,109.745,8.076699999999999,0.69865,8.7042,1.0
2018-05-08,0.7451,1.295,1.0016500000000002,1.1864,1.3546,109.125,8.1404,0.6970000000000001,8.8187,1.0
2018-05-07,0.7517,1.2881,1.0026,1.1922,1.3557000000000001,109.095,8.0703,0.7017,8.8355,1.0
2018-05-04,0.75425,1.2846,0.99995,1.196,1.35325,109.125,8.0552,0.702,8.799900000000001,1.0
2018-05-03,0.75315,1.2847,0.9976,1.1988500000000002,1.3576,109.195,8.0485,0.7041999999999999,8.8137,1.0
2018-05-02,0.7496499999999999,1.2884,0.9993000000000001,1.19515,1.3578000000000001,109.845,8.122399999999999,0.6996,8.9163,1.0
2018-05-01,0.74905,1.2848,0.9964,1.19935,1.3614,109.865,8.0877,0.7005,8.8484,1.0
2018-04-30,0.75335,1.284,0.99075,1.20785,1.3771499999999999,109.33500000000001,8.015899999999998,0.7036,8.7492,1.0
2018-04-27,0.7582,1.2828,0.9879,1.213,1.3780000000000001,109.045,7.9596,0.7085,8.6587,1.0
2018-04-26,0.7556,1.2867,0.9891,1.2103,1.3916,109.305,7.9954,0.7061999999999999,8.6646,1.0
2018-04-25,0.7564,1.2843,0.9833000000000001,1.2161,1.3931,109.425,7.9725,0.7070000000000001,8.5647,1.0
2018-04-24,0.7604,1.28335,0.9789,1.2232,1.3977,108.82,7.9026,0.712,8.5075,1.0
2018-04-23,0.76045,1.2849,0.9781,1.2208999999999999,1.3941,108.71000000000001,7.88715,0.7148,8.5195,1.0
2018-04-20,0.7673,1.2759,0.9746,1.2288000000000001,1.4004500000000002,107.665,7.8232,0.7209,8.4461,1.0
2018-04-19,0.77305,1.2671999999999999,0.97135,1.2346,1.40915,107.375,7.7921,0.7272000000000001,8.4047,1.0
2018-04-18,0.7784,1.2629000000000001,0.96875,1.2373500000000002,1.4203000000000001,107.235,7.7616,0.7319,8.4042,1.0
2018-04-17,0.7766500000000001,1.2548,0.9661500000000001,1.23705,1.4288,107.005,7.7614,0.7343,8.4036,1.0
2018-04-16,0.778,1.2565,0.9600500000000001,1.23795,1.4338,107.115,7.775600000000001,0.7363,8.4169,1.0
2018-04-13,0.7767999999999999,1.2612999999999999,0.9624,1.2331,1.4241,107.345,7.774900000000001,0.7359,8.473700000000001,1.0
2018-04-12,0.77545,1.2584,0.9626,1.2327,1.4227500000000002,107.335,7.7707999999999995,0.7376,8.4071,1.0
2018-04-11,0.7755,1.258,0.9577,1.2367,1.41785,106.795,7.762600000000001,0.7358,8.3259,1.0
2018-04-10,0.7761,1.2603,0.9571000000000001,1.2356,1.4175,107.205,7.7951,0.73615,8.302,1.0
2018-04-09,0.7698,1.2698,0.9561999999999999,1.23205,1.4131,106.765,7.785,0.7307,8.358,1.0
2018-04-06,0.7677499999999999,1.2784,0.9592499999999999,1.2283,1.4092500000000001,106.93,7.829700000000001,0.72645,8.3911,1.0
2018-04-05,0.7685,1.2749,0.9634,1.224,1.40035,107.38,7.8309999999999995,0.7278,8.4184,1.0
2018-04-04,0.7717,1.277,0.9608,1.2278,1.40815,106.78,7.8245000000000005,0.7306,8.4019,1.0
2018-04-03,0.76845,1.2807,0.95885,1.2270500000000002,1.40585,106.605,7.8382000000000005,0.7258,8.3913,1.0
2018-04-02,0.7664500000000001,1.2913000000000001,0.9554,1.2302,1.40455,105.895,7.8873999999999995,0.7213,8.3915,1.0
2018-03-30,0.7679,1.2894,0.9541,1.23225,1.4017499999999998,106.275,7.850300000000001,0.7236,8.3423,1.0
2018-03-29,0.7678,1.2884,0.9565,1.23015,1.4017,106.43,7.8413,0.7234499999999999,8.3603,1.0
2018-03-28,0.76615,1.2923,0.9567,1.23085,1.40775,106.85499999999999,7.8624,0.7212000000000001,8.350999999999999,1.0
2018-03-27,0.7679,1.2883,0.9468,1.2403,1.4157,105.345,7.71795,0.7269,8.2311,1.0
2018-03-26,0.77485,1.2841,0.94565,1.24425,1.42285,105.41,7.6813,0.72985,8.1908,1.0
2018-03-23,0.7697499999999999,1.2893,0.9472,1.2353,1.4133499999999999,104.74000000000001,7.7558,0.7235,8.2472,1.0
2018-03-22,0.7693,1.29405,0.9492,1.23015,1.4096,105.275,7.7504,0.7206,8.256499999999999,1.0
2018-03-21,0.77655,1.2903,0.94975,1.2338,1.41415,106.055,7.6958,0.7229,8.1836,1.0
2018-03-20,0.7683,1.30715,0.9565,1.2242,1.3998,106.535,7.747249999999999,0.7183999999999999,8.2217,1.0
2018-03-19,0.7718,1.3077,0.9511000000000001,1.2335,1.4024,106.095,7.7234,0.7243999999999999,8.1695,1.0
2018-03-16,0.7716000000000001,1.3097,0.9521999999999999,1.2288999999999999,1.39405,106.015,7.7156,0.7217,8.1929,1.0
2018-03-15,0.77985,1.30525,0.9515,1.2304499999999998,1.3937499999999998,106.345,7.71425,0.7278,8.1802,1.0
2018-03-14,0.78775,1.2955,0.9450000000000001,1.2367,1.3961000000000001,106.32499999999999,7.73,0.7332000000000001,8.183,1.0
2018-03-13,0.7859499999999999,1.2965,0.944,1.2389999999999999,1.39615,106.575,7.736800000000001,0.7324999999999999,8.2165,1.0
2018-03-12,0.78725,1.2839,0.9476,1.2334,1.3905500000000002,106.41499999999999,7.7443,0.7296,8.243099999999998,1.0
2018-03-09,0.7851,1.28125,0.9512,1.2307000000000001,1.3849,106.79499999999999,7.7771,0.7282500000000001,8.2441,1.0
2018-03-08,0.77915,1.2896,0.9512,1.2312,1.3812,106.205,7.8398,0.7263999999999999,8.2628,1.0
2018-03-07,0.7825500000000001,1.2912,0.9435,1.2413500000000002,1.39015,106.075,7.809799999999999,0.7284999999999999,8.2301,1.0
2018-03-06,0.7827999999999999,1.2876,0.9407,1.2404,1.38875,106.125,7.777,0.729,8.2072,1.0
